Column1,Column2,Column3,Column4,Column5
Generated on: 2025-06-18,,,,
Course Code,Faculty Initial,Section,Seats,Time
CE461,KASB,1,1/5,SR 11:50 AM - 01:20 PM
CE463,SADIK,1,0/5,SR 03:10 PM - 04:40 PM
CE498,TBA,1,0/40,A 02:30 PM - 05:30 PM
CE7100,DMKT,1,30/30,S 11:50 AM - 01:50 PM
CE7100,MRMK,2,12/35,T 01:30 PM - 03:30 PM
CE7100,KASB,3,2/35,M 10:10 AM - 12:10 PM
CE7101,DMNH,1,12/30,MW 03:10 PM - 04:40 PM
CE7101,TAJWAR,2,35/35,MW 03:10 PM - 04:40 PM
CE7101,TAJWAR,3,4/35,M 04:50 PM - 06:20 PM
CE7101,TAJWAR,3,4/35,W 04:50 PM - 06:20 PM
CE7102,SDR,1,26/26,T 01:30 PM - 03:30 PM
CE7102,TAJWAR,2,20/25,S 10:10 AM - 12:10 PM
CE7102,SDR,3,14/25,R 04:50 PM - 06:50 PM
CE7103,MRMK,1,25/25,MW 11:50 AM - 01:20 PM
CE7103,MRMK,1,25/25,S 03:10 PM - 05:10 PM
CE7103,SDR,2,25/25,S 11:50 AM - 01:50 PM
CE7103,SDR,2,25/25,ST 10:10 AM - 11:40 AM
CE7201,DMTS,1,6/9,TR 11:50 AM - 01:20 PM
CE7201,DMTS,1,6/9,M 03:10 PM - 06:10 PM
CE7201,MRMK,2,2/5,ST 11:50 AM - 01:20 PM
CE7201,MRMK,2,2/5,T 03:31 PM - 06:30 PM
CHE107,ZUH,1,9/10,MW 08:30 AM - 10:00 AM
CHE107,ZUH,1,9/10,M 01:30 PM - 04:30 PM
CHE107,TBA,2,0/0,M 08:00 AM - 11:00 AM
CHE107,TBA,2,0/0,MW 01:30 PM - 03:00 PM
CHE107,DCKR,3,4/10,TR 03:10 PM - 04:40 PM
CHE107,DCKR,3,4/10,T 04:50 PM - 06:50 PM
CHE108,MANI,1,31/31,R 08:00 AM - 10:00 AM
CHE108,MANI,1,31/31,ST 10:10 AM - 11:40 AM
CHE108,TBA,2,30/30,ST 11:50 AM - 01:20 PM
CHE108,TASMIA,2,30/30,R 04:50 PM - 06:50 PM
CHE108,DMMTI,3,30/30,M 01:30 PM - 03:30 PM
CHE108,DMMTI,3,30/30,MW 10:10 AM - 11:40 AM
CHE109,ZUH,1,30/30,W 01:30 PM - 03:30 PM
CHE109,ZUH,1,30/30,MW 10:10 AM - 11:40 AM
CHE109,ZUH,2,29/30,ST 10:10 AM - 11:40 AM
CHE109,ZUH,2,29/30,T 08:00 AM - 10:00 AM
CHE109,DTMA,3,30/30,S 08:00 AM - 10:00 AM
CHE109,DTMA,3,30/30,ST 10:10 AM - 11:40 AM
CHE109,DTMA,4,34/34,ST 01:30 PM - 03:00 PM
CHE109,DTMA,4,34/34,R 01:30 PM - 03:30 PM
CHE109,MUKTA,5,30/30,S 10:10 AM - 12:10 PM
CHE109,MUKTA,5,30/30,MW 08:30 AM - 10:00 AM
CHE109,MUKTA,6,30/30,MW 10:10 AM - 11:40 AM
CHE109,MUKTA,6,30/30,T 10:10 AM - 12:10 PM
CHE109,MUKTA,7,33/33,S 04:50 PM - 06:50 PM
CHE109,MUKTA,7,33/33,TR 01:30 PM - 03:00 PM
CHE109,ASIFUR,8,28/30,S 10:10 AM - 12:10 PM
CHE109,ASIFUR,8,28/30,MW 04:50 PM - 06:20 PM
CHE109,ASIFUR,9,33/33,SR 01:30 PM - 03:00 PM
CHE109,ASIFUR,9,33/33,T 08:00 AM - 10:00 AM
CHE109,ASIFUR,10,29/30,SR 08:30 AM - 10:00 AM
CHE109,ASIFUR,10,29/30,W 08:00 AM - 10:00 AM
CHE109,DJKS,11,30/30,MW 11:50 AM - 01:20 PM
CHE109,DJKS,11,30/30,M 04:50 PM - 06:50 PM
CHE109,DJKS,12,30/30,W 04:50 PM - 06:50 PM
CHE109,DJKS,12,30/30,MW 03:10 PM - 04:40 PM
CHE109,DMLN,13,30/34,ST 08:30 AM - 10:00 AM
CHE109,DMLN,13,30/34,S 01:30 PM - 03:30 PM
CHE109,DMLN,14,30/30,T 01:30 PM - 03:30 PM
CHE109,DMLN,14,30/30,ST 10:10 AM - 11:40 AM
CHE109,DMKH,15,30/30,MW 08:30 AM - 10:00 AM
CHE109,DMKH,15,30/30,M 01:30 PM - 03:30 PM
CHE109,DTMA,16,30/30,W 01:30 PM - 03:30 PM
CHE109,DMKH,16,30/30,MW 10:10 AM - 11:40 AM
CHE109,DCKR,17,30/30,TR 01:30 PM - 03:00 PM
CHE109,DCKR,17,30/30,R 04:50 PM - 06:50 PM
CHE109,TBA,18,0/0,S 08:00 AM - 10:00 AM
CHE109,TBA,18,0/0,S 04:50 PM - 06:20 PM
CHE109,TBA,18,0/0,T 04:50 PM - 06:20 PM
CHE109,TBA,19,0/0,T 08:00 AM - 10:00 AM
CHE109,TBA,19,0/0,MW 04:50 PM - 06:20 PM
CHE208,MAHA,1,30/30,MW 01:30 PM - 03:00 PM
CHE208,MAHA,1,30/30,R 01:30 PM - 03:30 PM
CHE208,MANI,2,30/30,R 01:30 PM - 03:30 PM
CHE208,MANI,2,30/30,MW 11:50 AM - 01:20 PM
CHE208,TBA,3,29/30,MW 01:30 PM - 03:00 PM
CHE208,TBA,3,29/30,S 01:30 PM - 03:30 PM
CHE208,DMRB,4,30/30,A 10:00 AM - 12:00 PM
CHE208,DMRB,4,30/30,MW 08:30 AM - 10:00 AM
CHE208,MAHA,5,28/30,A 08:00 AM - 10:00 AM
CHE208,TBA,5,28/30,ST 04:50 PM - 06:20 PM
CHE7107,ZUH,1,14/20,MW 08:30 AM - 10:00 AM
CHE7107,ZUH,1,14/20,M 01:30 PM - 04:30 PM
CHE7107,TBA,2,1/1,MW 01:30 PM - 03:00 PM
CHE7107,TBA,2,1/1,M 08:00 AM - 11:00 AM
CHE7107,DCKR,3,4/20,TR 03:10 PM - 04:40 PM
CHE7107,DCKR,3,4/20,T 04:50 PM - 06:50 PM
CS116,MASUM,1,0/30,W 10:10 AM - 11:40 AM
CS116,MASUM,1,0/30,M 08:00 AM - 10:00 AM
CS116,MASUM,1,0/30,M 10:10 AM - 11:40 AM
CS116Lab,TBA,1,0/0,R 08:00 AM - 10:00 AM
CS191,TASFIA,1,31/35,ST 10:10 AM - 11:40 AM
CS191,TBA,1,31/35,R 10:10 AM - 12:10 PM
CS191,TASFIA,2,35/35,ST 01:30 PM - 03:00 PM
CS191,TBA,2,35/35,R 01:30 PM - 03:30 PM
CS217,MASUM,1,21/30,MW 11:50 AM - 01:20 PM
CS217,MASUM,1,21/30,W 08:00 AM - 10:00 AM
CSE101,AT,1,35/35,S 08:30 AM - 10:00 AM
CSE101,AT,1,35/35,T 08:30 AM - 10:00 AM
CSE101,AT,2,35/35,T 10:10 AM - 11:40 AM
CSE101,AT,2,35/35,S 10:10 AM - 11:40 AM
CSE101,RAKIB,3,35/35,R 08:30 AM - 10:00 AM
CSE101,RAKIB,3,35/35,T 08:30 AM - 10:00 AM
CSE101,RAKIB,4,35/35,R 10:10 AM - 11:40 AM
CSE101,RAKIB,4,35/35,T 10:10 AM - 11:40 AM
CSE101,MSHQ,5,35/35,M 03:10 PM - 04:40 PM
CSE101,MSHQ,5,35/35,W 03:10 PM - 04:40 PM
CSE101,MSHQ,6,35/35,W 04:50 PM - 06:20 PM
CSE101,MSHQ,6,35/35,M 04:50 PM - 06:20 PM
CSE101,DMZM,7,35/35,S 03:10 PM - 04:40 PM
CSE101,DMZM,7,35/35,T 03:10 PM - 04:40 PM
CSE101,DMZM,8,32/35,T 04:50 PM - 06:20 PM
CSE101,DMZM,8,32/35,S 04:50 PM - 06:20 PM
CSE101,AQUIB,9,31/35,S 03:10 PM - 04:40 PM
CSE101,AQUIB,9,31/35,T 03:10 PM - 04:40 PM
CSE101,AQUIB,10,30/35,T 04:50 PM - 06:20 PM
CSE101,AQUIB,10,30/35,S 04:50 PM - 06:20 PM
CSE101,TZE,11,35/35,S 03:10 PM - 04:40 PM
CSE101,TZE,11,35/35,T 03:10 PM - 04:40 PM
